Index,Organization Id,Name,Website,Country,Description,Founded,Industry,Number of employees
1,8cC6B5992C0309c,Acevedo LLC,https://www.donovan.com/,Holy See (Vatican City State),Multi-channeled bottom-line core,2019,Graphic Design / Web Design,7070
2,ec094061FeaF7Bc,Walls-Mcdonald,http://arias-willis.net/,Lithuania,Compatible encompassing groupware,2005,Utilities,8156
3,DAcC5dbc58946A7,Gregory PLC,http://www.lynch-hoover.net/,Tokelau,Multi-channeled intangible help-desk,2019,Leisure / Travel,6121
4,8Dd7beDa37FbeD0,"Byrd, Patterson and Knox",https://www.james-velez.net/,Netherlands,Pre-emptive national function,1982,Furniture,3494
5,a3b5c54AEC163e4,Mcdowell-Hopkins,http://fuentes.com/,Mayotte,Cloned bifurcated solution,2016,Online Publishing,36
6,fDfEBeFDaEb59Af,Hayden and Sons,https://www.shaw-mooney.info/,Belize,Persistent mobile task-force,1978,Insurance,7010
7,752ef90Eae1f7f5,Castro LLC,http://wilkinson.com/,Jamaica,Advanced value-added definition,2008,Outsourcing / Offshoring,2526
8,B1D4c5CA34f9992,"Barajas, Baird and Shaw",http://www.jordan-harvey.com/,United States of America,Stand-alone bandwidth-monitored algorithm,2000,Wholesale,4478
9,Cfa1a44106faD4B,"Lucas, Galloway and Benjamin",http://silva.info/,Western Sahara,Persevering leadingedge ability,1990,Retail Industry,8223
10,C08fcf292AB17DF,"Barker, Hubbard and Bennett",http://www.allen.biz/,Mauritania,Decentralized fault-tolerant functionalities,2014,Museums / Institutions,7716
11,94B9bEedc626820,Underwood-Mitchell,https://www.leonard.com/,Italy,Compatible dynamic support,1992,Fine Art,4564
12,FE42dEd40f5DfD8,"Lester, Ochoa and Franco",http://www.munoz.com/,Timor-Leste,Vision-oriented dynamic conglomeration,2014,Motion Pictures / Film,8075
13,1F861fAbeDdCFea,"Arias, Jackson and Hester",https://hardin-thompson.com/,Algeria,Switchable maximized synergy,1980,Utilities,1319
14,456de7dE1ab18ca,Riggs and Sons,http://klein-benton.info/,Czech Republic,Object-based discrete orchestration,2012,Law Enforcement,4946
15,457bcfFF18A7DD2,Stanley LLC,https://bowman.com/,Eritrea,Self-enabling 24/7 groupware,1984,Executive Office,4980
16,5B5ea5aea34dc5F,Page-Ware,http://lam-soto.com/,Togo,Realigned mobile groupware,1991,Entertainment / Movie Production,1307
17,A66F35C298Dfd82,"Garner, Melton and Burgess",https://mathews-knox.com/,Guinea-Bissau,Automated 5thgeneration complexity,2003,E - Learning,9038
18,EdAC2EF13734E0B,Andersen-Fuentes,http://www.mann.com/,Oman,Ameliorated coherent database,1991,Textiles,6436
19,dD1612190b24B12,Ford-Rice,https://peterson-irwin.com/,Turks and Caicos Islands,Sharable intangible leverage,1971,Computer / Network Security,3038
20,992CAdffccEebEa,Collins-Figueroa,http://www.holt-bartlett.info/,Mongolia,Realigned multi-state installation,1985,Aviation / Aerospace,9420
21,0f65e641edAa1B5,Vargas PLC,https://www.welch.com/,Montserrat,Optimized secondary collaboration,2012,Ranching,1795
22,F8C0578dC3314F8,Rivas LLC,https://www.bryan.net/,Cuba,Re-engineered systemic installation,1998,Pharmaceuticals,1399
23,ed8aF92FFaDFB1E,"Gregory, Fuentes and Middleton",https://mcdonald.net/,Nauru,Grass-roots fault-tolerant function,1977,Tobacco,924
24,1A53a5EaeCE451b,"Burke, Peterson and Paul",http://www.king.org/,Bouvet Island (Bouvetoya),Down-sized reciprocal encryption,2016,Executive Office,2414
25,EC0feA85cffbCAf,Petty LLC,https://www.owens.info/,Saint Pierre and Miquelon,Team-oriented maximized product,2015,Marketing / Advertising / Sales,1933
26,9B761645aC1bEFC,Noble-Hodges,http://vincent.com/,Panama,Innovative client-driven Internet solution,1987,Cosmetics,6302
27,C0EDdD596D7c6C3,Santana and Sons,https://www.gilmore-mccann.com/,Syrian Arab Republic,Streamlined even-keeled budgetary management,1997,Computer Software / Engineering,2235
28,BeB7b67CDDB77cA,"Bernard, Galloway and Gibbs",https://trujillo.com/,Guatemala,Fully-configurable 5thgeneration productivity,1994,Oil / Energy / Solar / Greentech,914
29,9Cf0FfADEdAb259,Carney Group,http://mcconnell.com/,China,Inverse national Graphical User Interface,2012,E - Learning,7174
30,A180485CbcBAeeF,"Cohen, Nunez and Lara",http://www.franco.org/,Gabon,Virtual analyzing project,2002,Furniture,8031
31,5F4C9D283546ea4,Stokes-Campbell,https://www.kramer.com/,Singapore,Multi-channeled homogeneous Local Area Network,1985,Warehousing,4403
32,cB9E22bCCEE7DF9,Kent PLC,https://www.mcconnell.com/,Netherlands,Reduced neutral knowledgebase,2005,Civil Engineering,6707
33,1F1e3c08eB5eb3c,"Bowers, Schmidt and Boyd",https://ortega.net/,Israel,Total coherent open system,2013,E - Learning,6442
34,1faCF41cC9fC7eC,Underwood Group,https://www.berry-miles.org/,Lesotho,Expanded eco-centric function,1999,Automotive,2909
35,b4d5CbddD8c4cBE,"Lambert, Tran and Hendrix",https://lawrence.com/,United States of America,Ergonomic regional superstructure,1990,Arts / Crafts,8325
36,ffCc95EDE6Ca776,"Berry, Ryan and Gilmore",http://evans-bridges.com/,Guinea-Bissau,Vision-oriented analyzing workforce,2020,Leisure / Travel,8435
37,e41eFC164Fdc188,Holden Ltd,https://www.riley.com/,Samoa,Realigned even-keeled standardization,1978,Mechanical or Industrial Engineering,7948
38,ffBeeC4EFbc6Ee5,Cook-Bishop,https://randolph-webster.net/,Netherlands Antilles,Secured needs-based benchmark,2009,Plastics,843
